group,area,value
OldAhrfl/fl,772416,0.689
OldAhrfl/fl,772416,0.609
OldAhrfl/fl,772416,0.801
OldAhrfl/fl+IAA,808848,0.136
OldAhrfl/fl+IAA,808848,0.242
OldAhrfl/fl+IAA,808848,0.131
OldAhrIEC,1077444,1.728
OldAhrIEC,1077444,1.637
OldAhrIEC,1077444,1.401
OldAhrIEC+IAA,748773,1.405
OldAhrIEC+IAA,748773,1.427
OldAhrIEC+IAA,748773,1.329
