SampleID,name,value,group
C2,Cldn2,58.59,AhrIEC
C2,Cldn3,159.77,AhrIEC
C2,Cldn4,6.92,AhrIEC
C2,Cldn5,3.58,AhrIEC
C2,Cldn7,293.64,AhrIEC
C2,Cldn8,27.33,AhrIEC
C2,Cldn10,0.08,AhrIEC
C2,Cldn12,30.32,AhrIEC
C2,Cldn14,0.77,AhrIEC
C2,Cldn15,87.27,AhrIEC
C2,Cldn23,10.9,AhrIEC
C2,Occln,33.44,AhrIEC
C3,Tjp1,16.96,AhrIEC
C3,Tjp2,25.86,AhrIEC
C3,Tjp3,67.42,AhrIEC
C3,Cldn1,1.23,AhrIEC
C3,Cldn2,55.24,AhrIEC
C3,Cldn3,188.08,AhrIEC
C3,Cldn4,7.46,AhrIEC
C3,Cldn5,3.53,AhrIEC
C3,Cldn7,257.52,AhrIEC
C3,Cldn8,39.01,AhrIEC
C3,Cldn10,0.16,AhrIEC
C3,Cldn12,33.39,AhrIEC
C3,Cldn14,8.34,AhrIEC
C3,Cldn15,52.33,AhrIEC
C3,Cldn23,9.55,AhrIEC
C3,Occln,60.24,AhrIEC
