"","group","name","value","value1"
"1","Young","Tjp1",0.902566096,1.81855257011714
"2","Young","Tjp1",0.929954283,1.87373618279707
"3","Young","Tjp1",0.865914303,1.74470400361886
"4","Young","Tjp1",1.0655146,2.14687248159978
"5","Young","Tjp1",1.029619587,2.07454872776631
"6","Young","Tjp1",0.918871744,1.85140631701639
"7","Young","Tjp1",0.845596542,1.70376637406538
"8","Old","Tjp1",0.394433524,0.794731933749218
"9","Old","Tjp1",0.547150149,1.10243594803048
"10","Old","Tjp1",0.388793858,0.783368744787928
"11","Old","Tjp1",0.534077638,1.0760965490853
"12","Old","Tjp1",0.721263732,1.45325203259229
"13","Old","Tjp1",0.429548047,0.865483102370655
"14","Old","Tjp1",0.458904091,0.924631689384133
"15","Old+IAA","Tjp1",0.790532292,1.59281911623811
"16","Old+IAA","Tjp1",0.684950219,1.38008505602536
"17","Old+IAA","Tjp1",1.2445542,2.50761384577877
"18","Old+IAA","Tjp1",0.684627918,1.37943566168793
"19","Old+IAA","Tjp1",0.531505916,1.07091486580088
"20","Old+IAA","Tjp1",0.972773928,1.96001216392616
"21","Old+IAA","Tjp1",0.609574059,1.22821195764392
"22","Young","Tjp2",0.449222811,0.808034074249004
"23","Young","Tjp2",1.254987676,2.25739383695404
"24","Young","Tjp2",1.077670484,1.93844669184534
"25","Young","Tjp2",0.955908471,1.7194287500936
"26","Young","Tjp2",0.769147612,1.38349492368777
"27","Young","Tjp2",0.577830993,1.03936647932408
"28","Young","Tjp2",1.747904247,3.14402153122306
"29","Old","Tjp2",0.722721413,1.29998636220944
"30","Old","Tjp2",0.302558487,0.544223403092556
"31","Old","Tjp2",0.291161364,0.523722966545475
"32","Old","Tjp2",0.857842107,1.54303306913228
"33","Old","Tjp2",0.567868315,1.0214462332955
"34","Old","Tjp2",0.593520598,1.06758796572475
"35","Old+IAA","Tjp2",1.856473873,3.3393098271161
"36","Old+IAA","Tjp2",1.122185753,2.01851799119964
"37","Old+IAA","Tjp2",1.005008783,1.80774733984629
"38","Old+IAA","Tjp2",1.213669253,2.18307282550782
"39","Old+IAA","Tjp2",1.303971123,2.34550221720762
"40","Young","Tjp3",0.815478549,1.25819881036773
"41","Young","Tjp3",1.146607836,1.76909695170108
"42","Young","Tjp3",1.090151465,1.68199062754701
"43","Young","Tjp3",0.923744539,1.42524200235399
"44","Young","Tjp3",0.897052213,1.38405851216859
"45","Young","Tjp3",1.338925844,2.06582368862704
"46","Young","Tjp3",0.582213084,0.898294394828192
"47","Old","Tjp3",0.078060688,0.120439544238811
"48","Old","Tjp3",1.308033882,2.0181605957278
"49","Old","Tjp3",0.680010322,1.04918538841685
"50","Old","Tjp3",1.00676153,1.55332860799751
"51","Old","Tjp3",0.646573412,0.997595704744655
"52","Old","Tjp3",0.801961356,1.23734318372621
"53","Old","Tjp3",0.446717602,0.689238921239515
"54","Old","Tjp3",0.216934904,0.334708053908648
"55","Old+IAA","Tjp3",0.350266476,0.540424838832759
"56","Old+IAA","Tjp3",0.323232429,0.498714108591557
"57","Old+IAA","Tjp3",0.301209886,0.464735609171983
"58","Old+IAA","Tjp3",0.293857938,0.453392316035911
"59","Old+IAA","Tjp3",0.880854036,1.35906640531732
"60","Old+IAA","Tjp3",0.849405113,1.31054397936943
"61","Young","Cldn1",0.937118971,2.79637209591719
"62","Young","Cldn1",1.125603626,3.3588121340141
"63","Young","Cldn1",1.13974836,3.40102015741967
"64","Young","Cldn1",0.900095554,2.68589386060431
"65","Young","Cldn1",0.90224293,2.6923016514096
"66","Young","Cldn1",1.090041212,3.25269354581933
"67","Old","Cldn1",0.20821057,0.621302359722491
"68","Old","Cldn1",0.088951671,0.265432648753417
"69","Old","Cldn1",0.762755082,2.27606856048145
"70","Old","Cldn1",0.063851127,0.190532382078587
"71","Old","Cldn1",0.797190949,2.37882552150504
"72","Old","Cldn1",0.089757928,0.267838527459012
"73","Old+IAA","Cldn1",1.10977952,3.31159284827708
"74","Old+IAA","Cldn1",0.641873905,1.91535795623051
"75","Old+IAA","Cldn1",0.928988592,2.77211096614775
"76","Old+IAA","Cldn1",1.580774846,4.71704746790597
"77","Old+IAA","Cldn1",0.621987452,1.85601658765633
"78","Old+IAA","Cldn1",1.096016579,3.27052409888543
"79","Old+IAA","Cldn1",1.603134608,4.78376921451774
"80","Young","Cldn2",0.69744088,1.05790124832019
"81","Young","Cldn2",1.150629436,1.74531254419494
"82","Young","Cldn2",1.876146262,2.8458003101296
"83","Young","Cldn2",1.008606671,1.52988774663592
"84","Young","Cldn2",1.412696419,2.14282435689397
"85","Young","Cldn2",0.99051075,1.502439258937
"86","Old","Cldn2",0.453969259,0.688595491843111
"87","Old","Cldn2",0.622243038,0.943838690182239
"88","Old","Cldn2",0.711458911,1.07916425844643
"89","Old","Cldn2",0.662839056,1.00541606448102
"90","Old","Cldn2",1.037534962,1.57376712915888
"91","Old","Cldn2",0.284706666,0.43185242793121
"92","Old","Cldn2",0.712420334,1.08062257645019
"93","Old","Cldn2",0.7889751,1.19674336150692
"94","Old+IAA","Cldn2",1.245310645,1.88892811372331
"95","Old+IAA","Cldn2",1.233613977,1.87118622328754
"96","Old+IAA","Cldn2",0.685283658,1.03946077444102
"97","Old+IAA","Cldn2",1.020089898,1.54730588274811
"98","Old+IAA","Cldn2",0.661226132,1.00296952834874
"99","Young","Cldn3",1.055488704,1.79807253215686
"100","Young","Cldn3",1.086213902,1.85041429039597
"101","Young","Cldn3",0.847320904,1.44344931180307
"102","Young","Cldn3",1.261926839,2.14974919030249
"103","Young","Cldn3",0.954491245,1.6260188131949
"104","Young","Cldn3",0.894317691,1.52351045455532
"105","Old","Cldn3",0.347909388,0.592679307577225
"106","Old","Cldn3",0.881107654,1.50100656172495
"107","Old","Cldn3",0.727732819,1.23972562438051
"108","Old","Cldn3",0.757187353,1.28990274928215
"109","Old","Cldn3",0.471071642,0.802491752823371
"110","Old","Cldn3",0.337058308,0.574194004211783
"111","Old+IAA","Cldn3",0.629353008,1.07213118664991
"112","Old+IAA","Cldn3",0.593448216,1.01096575681315
"113","Old+IAA","Cldn3",1.368634832,2.33153106105844
"114","Old+IAA","Cldn3",1.017589566,1.73350964411081
"115","Old+IAA","Cldn3",1.135009747,1.93354020945638
"116","Old+IAA","Cldn3",0.906522897,1.54430257253322
"117","Old+IAA","Cldn3",0.673995419,1.148181543877
"118","Young","Cldn4",0.784494949,1.19399753090603
"119","Young","Cldn4",1.31217571,1.99712510558799
"120","Young","Cldn4",0.81828254,1.24542208154296
"121","Young","Cldn4",0.517163109,0.787119759035805
"122","Young","Cldn4",0.770688822,1.17298467216119
"123","Young","Cldn4",1.216939783,1.8521764837562
"124","Young","Cldn4",1.083250964,1.64870274565347
"125","Young","Cldn4",1.032683843,1.57173983123829
"126","Old","Cldn4",0.519023451,0.789951190592468
"127","Old","Cldn4",0.83911442,1.27712810248782
"128","Old","Cldn4",0.319179601,0.485789814192382
"129","Old","Cldn4",0.391581665,0.595985406603392
"130","Old","Cldn4",0.330836114,0.503530970790924
"131","Old","Cldn4",1.052529482,1.60194479813509
"132","Old","Cldn4",0.992142551,1.51003618023398
"133","Old","Cldn4",0.81185115,1.23563353696395
"134","Old+IAA","Cldn4",0.488685617,0.743777153480806
"135","Old+IAA","Cldn4",0.390476386,0.594303177293128
"136","Old+IAA","Cldn4",0.351504673,0.534988417961034
"137","Old+IAA","Cldn4",0.659842101,1.00427649710954
"138","Old+IAA","Cldn4",0.389991939,0.59356585129429
"139","Old+IAA","Cldn4",0.728925256,1.10942072602057
"140","Young","Cldn5",0.365600232,0.423112506112056
"141","Young","Cldn5",1.675841196,1.93946640680847
"142","Young","Cldn5",0.731429607,0.846490201522427
"143","Young","Cldn5",0.802282013,0.928488341684244
"144","Young","Cldn5",0.704731128,0.815591806580845
"145","Young","Cldn5",1.128482556,1.30600322587568
"146","Young","Cldn5",1.203800436,1.39316930010795
"147","Old","Cldn5",0.676539427,0.782965292105132
"148","Old","Cldn5",0.478514656,0.553789405996625
"149","Old","Cldn5",1.036708672,1.19979246708471
"150","Old","Cldn5",1.269479702,1.46918051783842
"151","Old","Cldn5",1.034035334,1.19669858846577
"152","Old","Cldn5",0.928700166,1.07479323115676
"153","Old","Cldn5",0.624535351,0.72278049735259
"154","Old+IAA","Cldn5",0.397073921,0.45953729544146
"155","Old+IAA","Cldn5",0.668183768,0.773295211207296
"156","Old+IAA","Cldn5",0.540003652,0.624951185773269
"157","Old+IAA","Cldn5",0.536538718,0.620941185833628
"158","Young","Cldn6",0.66139459,2.35069619584223
"159","Young","Cldn6",1.087924375,3.86664742703222
"160","Young","Cldn6",0.82838695,2.94421224711007
"161","Young","Cldn6",0.69019025,2.45304031755445
"162","Young","Cldn6",1.071765102,3.80921493190299
"163","Young","Cldn6",1.14056432,4.0537377364054
"164","Young","Cldn6",1.38875153,4.93583253915196
"165","Old","Cldn6",0.167163971,0.594125982662755
"166","Old","Cldn6",0.321392286,1.14227669154844
"167","Old","Cldn6",0.226939208,0.806576196719492
"168","Old","Cldn6",0.643713233,2.28785398445185
"169","Old","Cldn6",0.062705734,0.222865642688874
"170","Old","Cldn6",0.376258372,1.33727904202269
"171","Old","Cldn6",0.171355261,0.609022459905896
"172","Old+IAA","Cldn6",0.316365037,1.12440908984965
"173","Old+IAA","Cldn6",0.046409004,0.164944604635527
"174","Old+IAA","Cldn6",0.134423027,0.477759726160592
"175","Old+IAA","Cldn6",0.057329558,0.203757901769224
"176","Old+IAA","Cldn6",1.125403304,3.99985319731912
"177","Old+IAA","Cldn6",0.129980698,0.461971018422629
"178","Young","Cldn7",0.169276013,0.44017954950574
"179","Young","Cldn7",0.330355881,0.859046124125996
"180","Young","Cldn7",0.274593485,0.714043498440096
"181","Young","Cldn7",0.345278116,0.897849393198259
"182","Young","Cldn7",0.400963383,1.04265145527286
"183","Young","Cldn7",0.360647838,0.937816292146832
"184","Young","Cldn7",0.715736708,1.86117723420247
"185","Old","Cldn7",0.240215464,0.62464806946884
"186","Old","Cldn7",0.306109352,0.795996280127734
"187","Old","Cldn7",0.554072485,1.440791122844
"188","Old","Cldn7",0.408767256,1.0629443794779
"189","Old","Cldn7",0.233526789,0.607255067967261
"190","Old","Cldn7",0.643978598,1.67457990140031
"191","Old","Cldn7",0.305259048,0.793785178713956
"192","Old+IAA","Cldn7",0.257534926,0.669685005569419
"193","Old+IAA","Cldn7",0.275897317,0.717433938539787
"194","Old+IAA","Cldn7",0.285713152,0.742958699855631
"195","Old+IAA","Cldn7",0.253007652,0.657912437238612
"196","Old+IAA","Cldn7",0.328958609,0.855412705848966
"197","Young","Cldn10",0.178988565,0.979926663570722
"198","Young","Cldn10",0.517074318,2.83087867236573
"199","Young","Cldn10",0.492999106,2.69907169257393
"200","Young","Cldn10",0.174307497,0.954298750708313
"201","Young","Cldn10",0.516361804,2.8269778004482
"202","Young","Cldn10",0.43605284,2.38730225387157
"203","Young","Cldn10",0.358389114,1.96210885730095
"204","Old","Cldn10",0.086706564,0.474701129483893
"205","Old","Cldn10",0.186845864,1.022943807117
"206","Old","Cldn10",0.228106505,1.24883758011819
"207","Old","Cldn10",0.235633464,1.29004617810714
"208","Old","Cldn10",0.094711194,0.518524880844871
"209","Old","Cldn10",0.263926778,1.4449464243289
"210","Old+IAA","Cldn10",0.378409277,2.07171525328905
"211","Old+IAA","Cldn10",0.483116819,2.64496814395696
"212","Old+IAA","Cldn10",0.240327557,1.31574540024449
"213","Old+IAA","Cldn10",0.31723815,1.73681554398097
"214","Old+IAA","Cldn10",0.506133645,2.77098067167441
"215","Young","Ocln",0.647170385,0.726162693492618
"216","Young","Ocln",0.387347634,0.434626502916126
"217","Young","Ocln",0.759813959,0.852555314348522
"218","Young","Ocln",1.099617182,1.23383423160175
"219","Young","Ocln",1.338253426,1.50159793297693
"220","Old","Ocln",1.743431634,1.95623137369871
"221","Old","Ocln",0.162530094,0.18236818860716
"222","Old","Ocln",0.644708366,0.723400165432144
"223","Old","Ocln",1.012920307,1.13655531135667
"224","Old","Ocln",0.892507322,1.00144496090532
"225","Old+IAA","Ocln",0.624143,0.70032463244523
"226","Old+IAA","Ocln",0.482318313,0.541189110946255
"227","Old+IAA","Ocln",1.353912127,1.51916790335614
"228","Old+IAA","Ocln",0.539269998,0.605092203450315
"229","Old+IAA","Ocln",0.139489666,0.156515492557568
"230","Old+IAA","Ocln",0.429984506,0.482467545292655
"231","Old+IAA","Ocln",0.830908604,0.932327627950452
