group,count,area,value
Young,260,47674,54.53706423
Young,276,49947,55.25857409
Young,236,48312,48.84914721
Old,204,68855,29.62747803
Old,225,62370,36.07503608
Old,138,53696,25.70023838
Old+IAA,246,56119,43.83542116
Old+IAA,267,66461,40.17393659
Old+IAA,280,65667,42.63937747
