group,area,mean
Young,922320,0.427
Young,922320,0.467
Young,922320,0.419
Old,825957,1.167
Old,825957,1.278
Old,825957,1.243
Old+IAA,873072,0.738
Old+IAA,873072,0.865
Old+IAA,873072,0.724
