,group,Average degree,Clustering oefficient,Average path length,Modularity,Network stability,Vulnerability
1,Old,5.180124224,0.891613199,2.382107644,0.745248406,2.263547126,0.084266732
2,Old+C. s,7.073170732,0.685779963,7.32336165,0.70752602,4.776054929,0.038465465
