group,count,area,value
Young,404,12.351,32.70990203
Young,176,5.974,29.46099766
Young,286,7.61,37.58212878
Old,94,7.011,13.4075025
Old,51,3.021,16.88182721
Old,82,6.268,13.08232291
Old+C. s,158,6.012,26.28077179
Old+C. s,198,7.285,27.17913521
Old+C. s,176,6.702,26.26081767
