baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genus,Species,sig
2825.719526,-0.08093969,2.010161011,-0.040265277,0.967881636,0.989945283,g__Acetivibrio,s__Acetivibrio_mesophilus,Unchanged
263.5286852,0.200712949,2.885911268,0.069549245,0.944552436,0.989945283,g__Hydrogeniiclostridium,s__Hydrogeniiclostridium_mannosilyticum,Unchanged
274.1027377,-0.079465823,2.548722155,-0.031178692,0.975127033,0.989945283,g__Spiroplasma,s__Spiroplasma_chinense,Unchanged
1088.528327,-0.056052156,0.616165289,-0.09096935,0.927516945,0.989945283,g__Merdimmobilis,s__Merdimmobilis_hominis,Unchanged
414.6503873,0.037659058,1.220061736,0.030866518,0.975375992,0.989945283,g__Lachnoclostridium,s__Lachnoclostridium_edouardi,Unchanged
1082.505168,0.083828625,2.185525247,0.038356283,0.969403616,0.989945283,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,Unchanged
165.8576557,0.123932191,2.886235647,0.042939041,0.965750127,0.989945283,g__Paramuribaculum,s__Paramuribaculum_intestinale,Unchanged
9310.534468,-0.013442319,0.606149094,-0.022176588,0.982307093,0.989945283,g__norank_f__Porphyromonadaceae,s__Porphyromonadaceae_bacterium_UBA7139,Unchanged
1164.021871,0.059505577,2.124962344,0.028003121,0.977659662,0.989945283,g__Novisyntrophococcus,s__Novisyntrophococcus_fermenticellae,Unchanged
911.7763487,-0.146884103,2.517534039,-0.058344436,0.953474273,0.989945283,g__Aristaeella,s__Aristaeella_lactis,Unchanged
380.4422736,-0.137860485,1.693922141,-0.081385373,0.935135482,0.989945283,g__Spiroplasma,s__Spiroplasma_chinense,Unchanged
6083.97288,0.047879419,1.509404926,0.031720726,0.974694767,0.989945283,g__Suilimivivens,s__Suilimivivens_aceti,Unchanged
187.8301782,-0.149796647,2.562532638,-0.058456484,0.953385024,0.989945283,g__Hominisplanchenecus,s__Hominisplanchenecus_faecis,Unchanged
1021.89841,-0.053856197,1.765843643,-0.030498848,0.975669212,0.989945283,g__Angelakisella,s__Angelakisella_massiliensis,Unchanged
1794.129629,-0.069571536,0.741606164,-0.093811971,0.925258522,0.989945283,g__norank_o__Eubacteriales,s__Clostridiales_bacterium_CIEAF_022,Unchanged
194.4024093,0.16021918,2.589617307,0.061869829,0.950666494,0.989945283,g__Candidatus_Stoquefichus,s__unclassified_g__Candidatus_Stoquefichus,Unchanged
826.6972129,-0.065769117,1.750622677,-0.037568985,0.970031337,0.989945283,g__Marvinbryantia,s__Marvinbryantia_formatexigens,Unchanged
97.88483817,-0.268035164,2.886875343,-0.092846116,0.926025814,0.989945283,g__Pumilibacter,s__Pumilibacter_muris,Unchanged
723.1300747,0.033079575,2.106423146,0.015704145,0.98747042,0.989945283,g__Acetivibrio,s__Acetivibrio_cellulolyticus,Unchanged
672.1456661,0.045645883,0.880710312,0.051828488,0.958665356,0.989945283,g__Clostridium,s__Clostridium_sp._Culture-41,Unchanged
245.3713043,0.047214502,2.572645194,0.018352512,0.985357636,0.989945283,g__Acutalibacter,s__Acutalibacter_sp._1XD8-36,Unchanged
2072.989148,-0.014548746,0.71045248,-0.020478141,0.983661949,0.989945283,g__norank_d__Bacteria,s__bacterium_1xD8-48,Unchanged
706.4291321,-0.214990954,2.566646085,-0.083763381,0.933244563,0.989945283,g__norank_f__Clostridiaceae,s__Clostridiaceae_bacterium_MS3,Unchanged
139.5384911,-0.005523235,2.886403954,-0.001913535,0.998473221,0.998473221,g__Merdimmobilis,s__Merdimmobilis_hominis,Unchanged
385.8609524,-26.55581027,3.026269517,-8.775097565,NA,NA,g__norank_o__Candidatus_Gastranaerophilales,s__unclassified_g__norank_o__Candidatus_Gastranaerophilales,Unchanged
245.850654,-25.91678704,3.02631525,-8.563809417,NA,NA,g__Clostridium,s__Clostridium_sp._KLE_1755,Unchanged
324.0236359,-4.461804166,2.888329691,-1.544769692,NA,NA,g__Kineothrix,s__unclassified_g__Kineothrix,Unchanged
48.97313235,-23.73591013,3.026821943,-7.841858746,NA,NA,g__Clostridium,s__Clostridium_facile,Unchanged
623.7202501,-2.753200455,1.795436094,-1.533443861,NA,NA,g__Eubacterium,s__Eubacterium_plexicaudatum,Unchanged
4798.277998,-2.350589458,1.63740285,-1.435559647,NA,NA,g__Peptoniphilus,s__Peptoniphilus_sp._BV3C26,Unchanged
345.4078372,-4.558099444,2.888322935,-1.578112817,NA,NA,g__Candidatus_Faecenecus,s__Candidatus_Faecenecus_gallistercoris,Unchanged
4109.21315,-1.586949002,1.756763161,-0.903336908,NA,NA,g__Lachnoclostridium,s__Lachnoclostridium_sp._MSJ-17,Unchanged
48.97313235,-23.73591013,3.026821943,-7.841858746,NA,NA,g__Candidatus_Faecenecus,s__Candidatus_Faecenecus_gallistercoris,Unchanged
1877.122335,-3.822102114,2.885703941,-1.32449558,NA,NA,g__Gemmiger,s__Candidatus_Gemmiger_avium,Unchanged
2746.263666,-3.470150143,2.885550385,-1.202595582,NA,NA,g__norank_d__Bacteria,s__bacterium_1XD8-76,Unchanged
1711.672242,-6.914977892,2.888244,-2.394180649,NA,NA,g__Spiroplasma,s__Spiroplasma_phoeniceum,Unchanged
394.8531523,-26.58272013,3.026267694,-8.783994947,NA,NA,g__norank_f__Erysipelotrichaceae,s__Erysipelotrichaceae_bacterium_MTC7,Unchanged
1524.989513,-6.746982795,2.888246421,-2.336013557,NA,NA,g__Eubacterium,s__Eubacterium_ventriosum,Unchanged
1636.65342,-1.964292022,1.468110863,-1.337972541,NA,NA,g__norank_f__Clostridiaceae,s__Clostridiaceae_bacterium_MS3,Unchanged
511.1342825,3.513094557,2.886235208,1.217189281,NA,NA,g__Kineothrix,s__Kineothrix_sp._MB12-C1,Unchanged
203.0597384,-25.67787603,3.026341805,-8.484790443,NA,NA,g__Clostridium,s__Clostridium_sp._OM05-9BH,Unchanged
467.6743412,-4.578851172,2.887578213,-1.585706372,NA,NA,g__Clostridium,s__Clostridium_sp._OM05-9BH,Unchanged
557.5471031,3.339866471,2.886087918,1.157229636,NA,NA,g__norank_f__Erysipelotrichaceae,s__Erysipelotrichaceae_bacterium_MTC7,Unchanged
62.40651343,-0.078342121,2.887701557,-0.027129577,NA,NA,g__Candidatus_Faecenecus,s__Candidatus_Faecenecus_gallistercoris,Unchanged
4123.407171,-0.453791913,1.681368357,-0.269894405,NA,NA,g__Ruminococcus,s__Ruminococcus_flavefaciens,Unchanged
855.2205473,3.198234002,2.080311043,1.537382601,NA,NA,g__Rhabdanaerobium,s__Rhabdanaerobium_thermarum,Unchanged
238.101474,0.519543109,2.885979623,0.180023138,NA,NA,g__Anaerostipes,s__Anaerostipes_sp._992a,Unchanged
140.2484915,24.69944975,3.026460831,8.16116617,NA,NA,g__unclassified_f__norank_o__Eubacteriales,s__unclassified_f__norank_o__Eubacteriales,Unchanged
1139.116153,3.545983679,1.766633541,2.007198209,NA,NA,g__Solibaculum,s__Solibaculum_mannosilyticum,Unchanged
803.4038637,5.301527176,2.887046654,1.836315034,NA,NA,g__Streptococcus,s__Streptococcus_respiraculi,Unchanged
405.9808422,-1.847286562,2.885919105,-0.640103376,NA,NA,g__norank_o__Candidatus_Gastranaerophilales,s__Candidatus_Gastranaerophilales_bacterium_HUM_6,Unchanged
1737.285486,-1.494286023,2.207963368,-0.676771202,NA,NA,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,Unchanged
209.4251075,25.25338549,3.026370318,8.344446593,NA,NA,g__Pumilibacter,s__Pumilibacter_muris,Unchanged
51.81240597,0.500831457,2.88820194,0.173405969,NA,NA,g__Candidatus_Borkfalkia,s__Candidatus_Borkfalkia_ceftriaxoniphila,Unchanged
28.0201256,21.34137238,3.02755713,7.049040354,NA,NA,g__Allobaculum,s__Allobaculum_fili,Unchanged
58.48774507,-1.080682012,2.888323155,-0.374155506,NA,NA,g__Pseudoclostridium,s__Pseudoclostridium_thermosuccinogenes,Unchanged
8494.071723,-2.325004844,2.109021554,-1.102409238,NA,NA,g__Clostridium,s__Clostridium_sp._AF36-4,Unchanged
107.226609,-24.77118251,3.02647818,-8.184821114,NA,NA,g__Acetatifactor,s__Acetatifactor_muris,Unchanged
