OTU_ID,D2,D3,D4,D5,D6,G1,G2,G3,G4,G5
OTU369,3,1,8,24,3,64,172,87,7,50
OTU370,0,0,1,2,2,0,1,0,0,2
OTU371,0,23,33,37,62,56,19,70,1,2
OTU372,2,8,9,2,0,0,4,2,8,22
OTU373,26,3,1,1,1,2,21,30,9,25
OTU374,7,112,0,4,1,1,17,88,4,5
OTU375,0,1,2,1,1,0,4,1,0,0
OTU376,42,1,9,1,7,10,7,6,5,6
OTU377,417,36,37,6,41,114,41,64,259,35
OTU378,12,2,1,5,6,4,8,5,7,5
OTU379,61,34,19,7,13,8,165,11,145,301
OTU380,14,2,0,27,0,47,32,3,55,68
OTU381,5,17,3,4,0,0,6,24,2,1
OTU382,81,25,30,49,18,23,145,122,112,62
OTU383,0,1,0,1,0,0,29,115,0,2
OTU384,6,1,0,0,0,1,33,5,2,1
OTU385,9,19,11,8,4,4,18,21,4,3
OTU386,0,0,0,0,0,0,1,6,0,0
OTU387,0,0,0,1,1,1,3,25,0,1
OTU388,0,0,0,6,0,0,0,10,0,0
OTU389,0,0,0,0,0,0,0,10,0,0
OTU390,1,2,0,0,2,1,2,65,2,2
OTU391,0,1,0,0,0,0,1,0,44,0
OTU392,16,5,4,9,10,3,10,11,9,0
OTU393,0,1,1,0,14,0,1,0,4,0
OTU394,0,0,0,0,0,0,5,2,2,1
OTU395,0,0,0,0,0,1,2,0,2,0
OTU396,0,6,0,8,0,0,1,0,2,0
OTU397,5,22,13,14,17,6,5,22,38,13
OTU398,1,0,0,0,1,3,0,0,3,1
OTU399,0,0,2,7,57,3,14,6,1,0
OTU400,1,1,0,1,0,2,2,1,3,7
OTU401,3,1,2,10,7,5,0,8,18,4
OTU402,0,0,0,2,3,0,1,1,1,3
OTU403,10,6,3,11,1,2,3,2,1,13
OTU404,0,0,0,2,1,4,11,6,0,6
OTU405,0,0,0,0,3,0,34,31,40,57
OTU406,6,1,0,0,1,1,2,7,24,23
OTU407,0,1,0,1,0,0,0,0,0,1
OTU408,0,1,4,0,1,0,0,1,1,2
OTU409,0,4,2,3,0,0,6,0,7,4
OTU410,1,0,0,1,0,2,1,4,5,3
OTU411,8,7,1,6,8,0,1,5,6,3
OTU412,0,0,0,2,0,0,1,1,4,2
OTU413,0,1,0,0,0,11,0,4,3,4
OTU414,0,0,0,0,0,0,0,0,4,17
OTU415,1,5,4,10,4,26,9,0,0,14
OTU416,25,7,10,4,4,6,19,7,38,15
OTU417,15,4,3,1,0,2,14,6,9,56
OTU418,0,0,0,1,0,0,1,0,2,20
OTU419,0,0,0,0,0,0,0,0,0,12
OTU420,4,3,2,1,10,1,0,1,1,10
OTU421,1,31,10,1,3,3,9,24,358,578
OTU422,2,1,0,3,10,15,8,2,1,1
OTU423,0,0,1,0,0,1,0,0,0,0
OTU424,4,1,0,1,0,0,0,1,0,1
OTU425,0,0,0,0,0,0,0,2,0,0
OTU426,5,1,0,5,9,1,1,1,2,5
OTU427,0,0,0,0,0,1,0,2,0,1
OTU428,0,7,2,1,0,0,0,1,4,10
OTU429,1,6,1,0,2,1,0,3,5,6
OTU430,16,1,2,32,0,1,0,2,4,2
OTU431,0,0,0,1,0,0,2,0,1,3
OTU432,14,1,4,6,1,3,10,8,14,4
OTU433,0,0,0,0,0,4,1,0,0,6
OTU434,5,0,0,0,0,1,0,1,0,0
OTU435,0,2,0,0,0,0,1,0,0,0
